alarm_1,alarm_2,lag,correlation,abs_corr
Adjacent Node IP Address Ping Failure,Cell Unavailable,-4,0.06274552109588444,0.06274552109588444
Adjacent Node IP Address Ping Failure,Cell Unavailable,-3,0.07814941052284584,0.07814941052284584
Adjacent Node IP Address Ping Failure,Cell Unavailable,-2,0.09254255958176891,0.09254255958176891
Adjacent Node IP Address Ping Failure,Cell Unavailable,-1,0.0801948957234404,0.0801948957234404
Adjacent Node IP Address Ping Failure,Cell Unavailable,0,0.1800419434835285,0.1800419434835285
Adjacent Node IP Address Ping Failure,Cell Unavailable,1,0.07276234118767673,0.07276234118767673
Adjacent Node IP Address Ping Failure,Cell Unavailable,2,0.06789514389558929,0.06789514389558929
Adjacent Node IP Address Ping Failure,Cell Unavailable,3,0.0684341474312261,0.0684341474312261
Adjacent Node IP Address Ping Failure,Cell Unavailable,4,0.05312802385062284,0.05312802385062284
Adjacent Node IP Address Ping Failure,Cell Unavailable,5,0.05812073807338177,0.05812073807338177
Adjacent Node IP Address Ping Failure,Cell Unavailable,6,0.046268860069379046,0.046268860069379046
Adjacent Node IP Address Ping Failure,Cell Unavailable,7,0.04034081885900604,0.04034081885900604
Adjacent Node IP Address Ping Failure,Cell Unavailable,8,0.04369907913924252,0.04369907913924252
Adjacent Node IP Address Ping Failure,Cell Unavailable,9,0.039156065541754076,0.039156065541754076
Adjacent Node IP Address Ping Failure,Cell Unavailable,10,0.055894600982095054,0.055894600982095054
Adjacent Node IP Address Ping Failure,Cell Unavailable,11,0.044394601697062316,0.044394601697062316
Adjacent Node IP Address Ping Failure,Cell Unavailable,12,0.04791097674226714,0.04791097674226714
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),-12,0.11445965181668602,0.11445965181668602
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),-11,0.11621619534291457,0.11621619534291457
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),-10,0.16870656504734752,0.16870656504734752
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),-9,0.15624169514884703,0.15624169514884703
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),-8,0.13779130651488045,0.13779130651488045
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),-7,0.13371261071106952,0.13371261071106952
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),-6,0.12930990959674887,0.12930990959674887
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),-5,0.15820049316616852,0.15820049316616852
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),-4,0.1474167728760522,0.1474167728760522
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),-3,0.1633459771743415,0.1633459771743415
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),-2,0.19586721367615173,0.19586721367615173
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),-1,0.19923269310090247,0.19923269310090247
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),0,0.33069445226342054,0.33069445226342054
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),1,0.22725495881937763,0.22725495881937763
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),2,0.2273037949078193,0.2273037949078193
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),3,0.22555345152738185,0.22555345152738185
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),4,0.1793628366175663,0.1793628366175663
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),5,0.1890227324320457,0.1890227324320457
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),6,0.15850858655866162,0.15850858655866162
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),7,0.13743961162663584,0.13743961162663584
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),8,0.12207264722420218,0.12207264722420218
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),9,0.11380776045313128,0.11380776045313128
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),10,0.1384973141519334,0.1384973141519334
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),11,0.10495077926038872,0.10495077926038872
Adjacent Node IP Address Ping Failure,Commercial Power Down (Main Power Down),12,0.10449996328630469,0.10449996328630469
Adjacent Node IP Address Ping Failure,Core CPU Overload,-12,0.07339938335555096,0.07339938335555096
Adjacent Node IP Address Ping Failure,Core CPU Overload,-11,0.0836280491200945,0.0836280491200945
Adjacent Node IP Address Ping Failure,Core CPU Overload,-10,0.12750958733108173,0.12750958733108173
Adjacent Node IP Address Ping Failure,Core CPU Overload,-9,0.10598962271737361,0.10598962271737361
Adjacent Node IP Address Ping Failure,Core CPU Overload,-8,0.10799214173900079,0.10799214173900079
Adjacent Node IP Address Ping Failure,Core CPU Overload,-7,0.11325681867120188,0.11325681867120188
Adjacent Node IP Address Ping Failure,Core CPU Overload,-6,0.12367257363425432,0.12367257363425432
Adjacent Node IP Address Ping Failure,Core CPU Overload,-5,0.16990194005159523,0.16990194005159523
Adjacent Node IP Address Ping Failure,Core CPU Overload,-4,0.1690796985226334,0.1690796985226334
Adjacent Node IP Address Ping Failure,Core CPU Overload,-3,0.1962140258556868,0.1962140258556868
Adjacent Node IP Address Ping Failure,Core CPU Overload,-2,0.20659574381909032,0.20659574381909032
